New;label
рфпить и enel создать в россия каршеринг электромобиль ;1
moodys улучшить прогноз рейтинг россия ;1
рынок акция московский биржа по состояние на 1845 мск 18 сентябрь двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1845 мск 27 июль расти ;1
чистый прибыль россия в 1м полугодие вырасти в 55 раз ;1
рынок акция московский биржа по состояние на 1845 мск 21 июль снижаться ;0
россия мочь заняться солнечный энергетика в рф ;1
рынок акция московский биржа по состояние на 1845 мск 27 июнь расти ;1
рынок акция московский биржа по состояние на 1845 мск 21 июнь снижаться ;0
рынок акция московский биржа по состояние на 1845 мск 15 июнь снижаться ;0
рынок акция московский биржа по состояние на 1845 мск 6 июнь снижаться ;0
fitch подтвердить рейтинг россия ;0
генкомпания против снижение поддержка виэ ;0
втб продать часть свой пакет в россия ;1
чистый прибыль enel вырасти в январесентябрь на 32 ;1
enel продавать российский электростанция ;0
чистый прибыль россия составить за 9 месяц 3 миллиард рубль ;1
чистый прибыль россия по мсфо составить за 9 месяц 2 миллиард рубль ;1
рынок акция рф итог неделя ;0
втб увеличить доля в россия до 769 ;0
enel не отказаться от план развитие в россия генерация на возобновлять источник энергия ;1
moodys назвать перспективный metro и tesco ;1
рбк назвать 50 самый быстрорастущий российский компания ;1
рейтинг рбк 50 самый быстрорастущий компания россия ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 136 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 012 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 040 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 028 ;1
вызов для менеджер как ольга наумов быть обыгрывать сам себя ;0
x5 ожидать замедление рост выручка в 2018 год надеяться на повышение на 1520 в 2019 год ;1
замедлить темп рост в 2019 год ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 134 ;1
дрон робот магазин без касса и особенность торговля в китай ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 142 ;0
не смочь за год найти место под магазин на вокзал ;0
выручка вырасти за девять месяц на 19 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 024 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 154 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 013 ;0
акционер «альфагрупп» создать новое страховщик ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 195 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 069 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 013 ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 012 ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 071 ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 023 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 003 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 014 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 027 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 012 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 072 ;1
упадок ритейлер «магнит» и х5 подешеветь на треть с начало год ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 111 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 002 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 045 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 095 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 070 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 105 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 123 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 118 ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 186 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 076 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 102 ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 101 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 046 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 005 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 004 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 208 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 033 ;0
бумага подешеветь перед вступление в сила ребалансировка индекс ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 002 ;0
минпром рф мочь облегчить путь к повышение локализация газовый турбина ;1
российский рынок пытаться скорректироваться после снижение ;1
новый волна инвестиция в электроэнергетика рф подстегнуть аппетит к заём ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 005 ;1
текслера быть курировать электроэнергетика рф в минэнерго вместо уволиться кравченко ;0
отвечать за электроэнергетика рф замминистра уйти по свой желание ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 079 ;0
российский рынок акция открыться в минус ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 040 ;0
5 главный событие неделя ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 079 ;1
рынок акция московский биржа по состояние на 1845 мск 30 октябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 165 ;0
чистый прибыль рао за 9 месяц вырасти более чем вдвое ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 013 ;0
moodys подтвердить рейтинг русгидро с прогноз позитивный ;1
— ключевой потрясение рынок ;0
лукойл не планировать продавать свой энергоактив ;0
лукойл мочь продать электростанция ;0
российский индекс просесть на падение цена на нефть и новость о трагедия в керчь ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 118 ;1
рынок вырасти доллар ослабелый ;1
рынок акция московский биржа по состояние на 1845 мск 12 октябрь расти ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 154 ;1
рынок акция московский биржа по состояние на 1600 мск 12 октябрь расти ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 107 ;0
эксперт репутация российский компания ухудшиться за год ;0
интеррао обсуждать с ge глубокий локализация больший турбина в рф ;1
siemens оценивать потенциал рынок газовый турбина в россия до шесть штука в год ;1
минэнерго рф против идея металлург сократить срок первое отбор модернизация электростанция ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 180 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 091 ;0
металлург и власть рф обсудить сокращение срок первое отбор модернизация энергетика ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 023 ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 003 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 005 ;1
чистый прибыль русгидро по мсфо вырасти за полугодие на 64 ;1
топ4 индекс msci russia 1040 остаться без изменение ;0
требование к локализация в проект обновление энергетика довести до 100 постепенно ;1
путин поддержать модернизация российский теплов электростанция ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 087 ;1
рао хороший результат не хороший дивиденд ;0
чистый прибыль рао в 1м полугодие вырасти на 244 ;1
рынок акция московский биржа по состояние на 1005 мск 13 август снижаться ;0
«список белоусова» к новый дивиденд ;1
рынок акция московский биржа по состояние на 1600 мск 10 август снижаться ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 054 ;1
fitch улучшить прогноз рейтинг рао ;1
процентный доход роснефтегаз в 2017 год упасть на фон снижение ставка цб рф ;0
рынок акция московский биржа по состояние на 1300 мск 30 июль расти ;1
российский рынок пытаться скорректироваться после снижение ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 136 ;0
в 3м квартал рост выручка составить 117 оказаться хороший прогноз ;1
повысить прогноз по рост выручка в это год до 46 ;1
акция упасть на 5 на фон публикация отчётность ;0
зарезервировать ₽56 миллиард под будущий штраф за коррупция в узбекистан ;0
чистый убыток в iii квартал по мсфо составить 37 миллиард рубль ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 037 ;0
выручка мгтс не измениться за 9 месяц в годовой сравнение ;0
сегодня ожидаться выплата купонный доход по 8 выпуск облигация на общий сумма 87059 миллион рубль ;1
сегодня ожидаться погашение по 4 выпуск облигация на общий сумма 8112500 миллион рубль ;1
в вторник 13 ноябрь ожидаться погашение по 4 выпуск облигация на общий сумма 8112500 миллион рубль ;1
в вторник 13 ноябрь ожидаться выплата купонный доход по 8 выпуск облигация на общий сумма 87059 миллион рубль ;1
в течение ближний неделя с 10 по 16 ноябрь ожидаться погашение по 21 выпуск облигация ;1
в течение ближний неделя с 10 по 16 ноябрь ожидаться выплата купонный доход по 58 выпуск облигация ;1
приобрести по оферта 006 выпуск облигация 8й серия на 85 миллион рубль ;1
сегодня ожидаться выплата купонный доход по 17 выпуск облигация на общий сумма 298830 миллион рубль ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 137 ;1
в четверг 8 ноябрь ожидаться выплата купонный доход по 17 выпуск облигация на общий сумма 298830 миллион рубль ;1
эксклюзивподать иск в сша к hp enterprise требовать возместить ущерб за сбоить в система ;0
сегодня ожидаться выплата купонный доход по 21 выпуск облигация на общий сумма 277176 миллион рубль ;1
в течение ближний неделя с 3 по 9 ноябрь ожидаться выплата купонный доход по 58 выпуск облигация ;1
в вторник 6 ноябрь ожидаться выплата купонный доход по 21 выпуск облигация на общий сумма 277176 миллион рубль ;1
в московский метро заработать автомат по продажа симкарта ;1
обновлять стратегия оператор попытаться объединить сервис в один экосистема ;1
установить ставка 1720го купон облигация 8й серия в размер 79 ;1
в 3м квартал российский рынок смартфон вырасти в денежный выражение на 21 ;1
эксперт репутация российский компания ухудшиться за год ;0
фас окончательно отменить внутрисетевой роуминг в поездка по рф ;1
акционер одобрить дивиденд за i полугодие в размер 26 рубль ;1
российский телекомбизнес быть растить на 23 в год исследование ;1
сегодня ожидаться выплата купонный доход по 18 выпуск облигация на общий сумма 277589 миллион рубль ;1
в четверг 27 сентябрь ожидаться выплата купонный доход по 18 выпуск облигация на общий сумма 277589 миллион рубль ;1
сегодня ожидаться выплата купонный доход по 30 выпуск облигация на общий сумма 1758827 миллион рубль ;1
в среда 26 сентябрь ожидаться выплата купонный доход по 30 выпуск облигация на общий сумма 1758827 миллион рубль ;1
в течение ближний неделя с 22 по 28 сентябрь ожидаться выплата купонный доход по 138 выпуск облигация ;1
рынок акция московский биржа по состояние на 1845 мск 17 сентябрь расти ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 057 ;1
fitch повысить рейтинг мтсбанка до bb ;1
выкупить по оферта 89 выпуск облигация бо02 на 89 миллиард рубль ;1
сегодня ожидаться выплата купонный доход по 17 выпуск облигация на общий сумма 2075063 миллион рубль ;1
в среда 5 сентябрь ожидаться выплата купонный доход по 17 выпуск облигация на общий сумма 2074736 миллион рубль ;1
платёжный система золотой корона начало работать в вьетнам ;1
в течение ближний неделя с 1 по 7 сентябрь ожидаться выплата купонный доход по 74 выпуск облигация ;1
сегодня ожидаться выплата купонный доход по 6 выпуск облигация на общий сумма 309230 миллион рубль ;1
в пятница 31 август ожидаться выплата купонный доход по 6 выпуск облигация на общий сумма 309230 миллион рубль ;1
выручка афк система в 2м квартал вырасти на 101 ;1
в течение ближний неделя с 25 по 31 август ожидаться выплата купонный доход по 91 выпуск облигация ;1
установить ставка 56го купон облигация серия бо02 в размер 785 ;1
правительство передать ростех 923 акция ;0
рынок акция московский биржа по состояние на 1845 мск 16 ноябрь двигаться разнонаправленный ;0
для оснащение предприятие под производство ил114300 из бюджет быть выделить более 22 миллиард рубль ;1
рынок акция московский биржа по состояние на 1845 мск 9 ноябрь снижаться ;0
рынок акция московский биржа по состояние на 1845 мск 8 ноябрь снижаться ;0
двигатель для российскокитайский самолёт cr929 поставить ge или rolls royce главный конструктор ;1
brussels airlines отказаться от superjet изз технический проблема ;1
прорыв год смочь ли новый мс21 разогнать акция «иркута» ;0
рынок акция московский биржа по состояние на 1845 мск 25 октябрь снижаться ;0
путин передать ростех авиастроительный холдинг ;1
в правительство ожидать что интеграция в ростёха до 2025 год принести около 120 миллиард рубль прибыть ;1
входить в состав ростех ;1
рынок акция московский биржа по состояние на 1845 мск 18 октябрь снижаться ;0
россия через 6 год мочь стать крупный экспортёр самолёт ;1
рф и китай мочь инвестировать в создание широкофюзеляжный самолёт по 20 миллиард рубль ;1
рынок акция московский биржа по состояние на 1845 мск 6 сентябрь снижаться ;0
мантур решение по вхождение в ростёха принять ;1
инвестиция в 75местный sukhoi superjet составить 50 миллиард рубль глава ;1
рынок акция московский биржа по состояние на 1845 мск 13 август расти ;1
рынок акция московский биржа по состояние на 1845 мск 6 август двигаться разнонаправленный ;0
изготавливать новый беспилотник ;1
рынок акция московский биржа по состояние на 1845 мск 16 июль снижаться ;0
рынок акция московский биржа по состояние на 1845 мск 11 июль снижаться ;0
мантур у рф и оаэ большой потенциал сотрудничество в нефтегазовый сфера ;1
экспозиция рф не быть на авиакосмический салон фарнборо 2018 ;0
пока не разрабатывать сверхтяжёлый транспортник на замена руслан ;0
в 20182020 год вложить в военный авиация 300 миллиард рубль ;1
рынок акция московский биржа по состояние на 1845 мск 25 май двигаться разнонаправленный ;0
глава есть риска для холдинг от введение контрсанкция ;0
российский истребитель су30см разбиться в сирия оба лётчик погиблисми ;0
рынок акция московский биржа по состояние на 1845 мск 26 апрель расти ;1
предлагать ограничить импорт иностранный самолёт старший 56 год ;1
туполев на 224 увеличить годовой выручка сократить чистый убыток более чем в 15 раз ;1
аэрофлот подписать с дочка ростех контракт на лизинг 50 мс21 более чем на 5 миллиард ;1
быть передать ростех ;0
совет директор иркут 26 январь утвердить организационный структура предприятие ;1
рынок акция московский биржа по состояние на 1845 мск 11 январь расти ;1
новое санкция сша быть болезненный глава ростех ;0
рынок акция московский биржа по состояние на 1845 мск 11 декабрь расти ;1
на рассмотрение власть находиться проект развитие в рф дирижабельный перевозка советник глава ;1
россия вопреки санкция выполнить план поставка вооружение и военный техника глава рособоронэкспорт ;1
рынок акция московский биржа по состояние на 1845 мск 7 ноябрь расти ;1
рынок акция московский биржа по состояние на 1845 мск 22 сентябрь двигаться разнонаправленный ;0
двосток стать площадка для разработка и производство беспилотный авиация ;1
подписать меморандум о создание двигатель для российскокитайский самолёт между одк и aero engine ;1
совет директор утвердить реорганизация холдинг и кадровый перестановка в руководство ;0
госкомпания распределить между министерство ;0
российский авиапром поддержать гарантия остаточный стоимость самолёт ;1
рынок акция московский биржа по состояние на 1845 мск 1 август расти ;1
